,Component_1 (250.269%),Component_2 (208.909%),Component_3 (150.057%),Component_4 (154.614%),Component_5 (61.845%),Component_6 (45.814%),Component_7 (55.470%),Component_8 (67.492%),Component_9 (24.942%),Component_10 (47.762%)
distAA_by2_byAsize,0.006,0.003,0.209,-0.05,-0.064,0.077,0.041,0.087,0.099,-0.141
distBB_by2_byBsize,0.122,0.022,-0.143,-0.093,0.012,-0.053,0.013,0.115,0.002,0.116
distAB_by2_byAsizebyBsize,0.045,0.144,0.073,-0.009,-0.031,0.082,-0.099,0.074,-0.02,0.28
Asize_ref,-0.114,-0.049,0.063,-0.07,0.085,-0.065,-0.06,0.209,-0.001,0.174
Bsize_ref,0.154,0.027,0.142,-0.027,-0.145,0.159,-0.104,0.053,-0.014,0.137
percent_diff_A_by_100,-0.085,0.187,0.067,-0.015,0.177,0.029,-0.018,0.112,0.015,0.006
percent_diff_B_by_100,0.11,0.019,0.05,-0.001,-0.197,0.026,-0.068,-0.007,-0.036,0.278
distAA_minus_ref_diff,0.047,-0.078,0.165,-0.045,-0.151,0.015,0.077,0.062,0.063,-0.145
distBB_minus_ref_diff,0.079,0.033,-0.148,-0.085,0.082,-0.064,0.045,0.095,0.019,-0.005
distAB_minus_ref_diff,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
refined_packing_eff,0.006,-0.039,-0.009,0.289,0.284,-0.039,0.077,0.032,0.0,0.008
R_factor,0.087,-0.05,-0.06,-0.098,-0.101,-0.139,-0.027,-0.165,0.27,0.147
